番号,text_1,text_2,text_3
1,concentrate,concentrate on the task,You must concentrate on the task at hand.
2,request,make a request,She decided to make a request for additional resources.
3,criticize,criticize the decision,The committee will criticize the decision publicly.
4,overcome,overcome the obstacles,We managed to overcome the obstacles through teamwork.
5,obtain,obtain permission,You need to obtain permission before starting the project.
6,inform,inform the authorities,He had to inform the authorities of the accident.
7,ensure,ensure compliance,The manager must ensure compliance with the regulations.
8,announce,announce the results,The company will announce the results next week.
9,grant,grant access,The administrator can grant access to the files.
10,freeze,freeze the account,"Due to suspicious activities, we had to freeze the account."
11,oppose,oppose the idea,Many people oppose the idea of higher taxes.
12,differ,differ in opinion,They differ in opinion about the project's future.
13,hate,hate the concept,I really hate the concept of wasting food.
14,emphasize,emphasize the importance,The teacher will emphasize the importance of reading.
15,employ,be employed as a guard,She's employed as a guard at the museum.
16,credit,credit the account,The bank will credit the account with the refund.
17,transform,transform the industry,Innovative technologies have the potential to transform the industry.
18,construct,construct a building,The company plans to construct a building downtown.
19,arise,Issues can arise,Issues can arise when communication breaks down
20,beat,beat the competition,Our team managed to beat the competition.
21,regret,regret the decision,He began to regret the decision he had made.
22,alter,alter the plan,"Due to unforeseen circumstances, we had to alter the plan."
23,absorb,absorb the knowledge,Students are expected to absorb the knowledge quickly.
24,disappoint,disappoint the fans,The team did not want to disappoint the fans.
25,cure,cure the disease,Scientists are working hard to cure the disease.
26,transport,transport goods,Trucks are used to transport goods across the country.
27,rush,rush the process,There's no need to rush the process; take your time.
28,hang,hang the painting,Please hang the painting on the left wall.
29,blame,blame the failure,It's unfair to blame the failure on a single individual.
30,ban,ban the use,The government decided to ban the use of plastic bags.
31,fascinate,fascinate the audience,The magician's performance did fascinate the audience.
32,recover,recover from the illness,She took a week to recover from the illness.
33,celebrate,celebrate the victory,The team went out to celebrate the victory.
34,manufacture,manufacture the product,The company began to manufacture the product on a large scale.
35,interact,interact with the customers,It's important to interact with the customers regularly.
36,arrange,arrange a meeting,We need to arrange a meeting to address the issues.
37,adjust,adjust the settings,Please adjust the settings to enhance the audio quality.
38,confirm,confirm the appointment,Please confirm the appointment by the end of the day.
